Character ,Voiced by ,Description/role ,First appearance 
Homer Simpson ,Dan Castellaneta[2] ,"Husband of Marge; father of Bart, Lisa, and Maggie. ","""Good Night"" (The Simpsons shorts)[3]"
Marge Simpson ,Julie Kavner[2] ,"Wife of Homer; mother of Bart, Lisa, and Maggie. ","""Good Night""[3]"
Bart Simpson ,Nancy Cartwright[2] ,Oldest child and only son of Homer and Marge; brother of Lisa and Maggie. ,"""Good Night""[3]"
Lisa Simpson ,Yeardley Smith[2] ,Middle child and oldest daughter of Homer and Marge; sister of Bart and Maggie. ,"""Good Night""[3]"
Maggie Simpson ,Various[4] ,Youngest child (the baby) and daughter of Homer and Marge; sister of Bart and Lisa. ,"""Good Night""[3]"
Akira ,"George Takei,[5] Hank Azaria[2] ",Waiter at The Happy Sumo;[6] karate teacher.[7] ,"""One Fish, Two Fish, Blowfish, Blue Fish"""
"Albright, Ms. ﻿Ms. Albright ",Tress MacNeille[8] ,Sunday school teacher. ,"""The Telltale Head"""
"Amadopolis, Aristotle ","Jon Lovitz,[9] Dan Castellaneta[2] ",Owner of the Shelbyville Nuclear Power Plant.[10] ,"""Homer Defined"""
"Atkins ﻿Atkins, State Comptroller ","Harry Shearer,[11] Hank Azaria[12] ",State comptroller.[13] ,"""Lisa Gets an 'A'"""
"Bailey, Mary ﻿",Maggie Roswell[8] ,Governor of Springfield's state. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
"Barlow ﻿Birchibald ""Birch"" T",Harry Shearer[8] ,Radio talk show host; Fox News anchor. ,"""Sideshow Bob Roberts"""
"Beardly, Jasper ﻿",Harry Shearer[8] ,Grandpa's closest neighbor in the Retirement Castle. ,"""Homer's Odyssey"""
"Benjamin, Doug, and Gary ","Harry Shearer,[8] Hank Azaria,[2] and Dan Castellaneta[2] ",Springfield University students. ,"""Homer Goes to College"""
Bill and Marty ,Dan Castellaneta[2] and Harry Shearer[8] ,KBBL Radio co-hosts. ,"""Bart vs. Thanksgiving"""
Blinky ,Unvoiced ,Three-eyed fish. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
Blue-Haired Lawyer[14] ,Dan Castellaneta[14] ,Attorney. ,"""Bart Gets Hit by a Car"""
Boobarella ,Tress MacNeille ,Host of late night TV monster movies. ,"""I'm Spelling as Fast as I Can"""
Borton ﻿Wendell ,Russi Taylor[8] ,Student at Springfield Elementary School. ,"""Homer's Odyssey"""
"Bouvier, Gladys ﻿",Julie Kavner[2] ,Aunt of Selma and Patty Bouvier and Marge Simpson. Sister of Jacqueline Bouvier. ,"""Selma's Choice"""
"Bouvier, Jacqueline ﻿",Julie Kavner[2] ,"Mother of Selma and Patty Bouvier and Marge Simpson, Grandmother of Bart, Lisa, Maggie and Ling. ","""Bart vs. Thanksgiving"""
"Bouvier, Patty",Julie Kavner[2] ,Twin sister of Selma and older sister of Marge. ,"""Simpsons Roasting on an Open Fire"""
"Bouvier, Selma",Julie Kavner[2] ,Twin sister of Patty and older sister of Marge. Adoptive mother of Ling. ,"""Simpsons Roasting on an Open Fire"""
"Brockman, Kent",Harry Shearer[8] ,News anchor. ,"""Krusty Gets Busted"""
Bumblebee Man ,Hank Azaria[2] ,Star of slapstick sketch comedy show on Canal Ocho. ,"""Itchy & Scratchy: The Movie"""
"Burns, Charles Montgomery",Harry Shearer[8] ,Owner of the Springfield Nuclear Power Plant. ,"""Simpsons Roasting on an Open Fire"""
Capital City Goofball ,Tom Poston[15] ,Mascot of the Capital City Capitals baseball team.[16] ,"""Dancin' Homer"""
"Carlson, Carl",Hank Azaria[2] ,Springfield Nuclear Power Plant employee. ,"""Homer's Night Out"""
Crazy Cat Lady[11] ,Tress MacNeille[11] ,"Mentally ill owner of many cats. Name revealed as Eleanor Abernathy in ""See Homer Run"". ","""Girly Edition"""
"Chalmers, Superintendent Gary",Hank Azaria[2] ,Public schools superintendent. ,"""Whacking Day"""
Charlie ,Dan Castellaneta[17] ,Springfield Nuclear Power Plant employee. ,"""Life on the Fast Lane"""
Chase ,Hank Azaria[14] ,Luann Van Houten's ex-boyfriend; American Gladiator. ,"""A Milhouse Divided"""
"Christian, Scott",Dan Castellaneta[2] ,News co-anchor. ,"""Krusty Gets Busted"""
Cowboy Bob ,Albert Brooks[18] ,RV salesman.[19] ,"""The Call of the Simpsons"""
Comic Book Guy ,Hank Azaria[2] ,"Proprietor of The Android's Dungeon comic book store. Name revealed to be Jeff Albertson in ""Homer and Ned's Hail Mary Pass"". ","""Three Men and a Comic Book"""
"Costington, Mr.",Hank Azaria[12] ,President of Costington's Department Store. ,"""Trash of the Titans"""
Database ,Nancy Cartwright[2] ,Student at Springfield Elementary School. ,"""Bart's Comet"""
"Desmond, Declannd ",Eric Idle ,Documentary filmmaker. ,"""'Scuse Me While I Miss the Sky"""
Disco Stu ,Hank Azaria[12] ,Disco aficionado. ,"""Two Bad Neighbors"""
Dolph ,Tress MacNeille[8] ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Doris, Lunchlady",Doris Grau[8] ,Springfield Elementary School lunch lady. ,"""Lisa's Pony"""
Duffman ,Hank Azaria[14] ,Spokes-mascot for Duff Beer. ,"""The City of New York vs. Homer Simpson"""
Eddie and Lou ,Harry Shearer[8] and Hank Azaria[2] ,Springfield police officers. ,"""There's No Disgrace Like Home"""
Ernst and Gunter ,Harry Shearer[11] and Hank Azaria[14] ,Lion tamers. ,"""$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"""
Fat Tony ,Joe Mantegna ,Mob boss. ,"""Bart the Murderer"""
"Flanders, Maude",Maggie Roswell[8] ,Ned Flanders's deceased wife. ,"""Dead Putting Society"""
"Flanders, Ned",Harry Shearer[8] ,The Simpson family's next door neighbor; owner of The Leftorium. ,"""Simpsons Roasting on an Open Fire"""
"Flanders, Rod",Pamela Hayden[8] ,Ned and Maude Flanders's elder son. ,"""The Call of the Simpsons"""
"Flanders, Todd",Nancy Cartwright[2] ,Ned and Maude Flanders's younger son. ,"""Simpsons Roasting on an Open Fire"""
Frankie the Squealer ,Dan Castellaneta[12] ,Informant for Fat Tony.[20] ,"""Insane Clown Poppy"""
"Frink, Professor John",Hank Azaria[2] ,"Scientist, inventor. ","""Old Money"""
"Gerald, Baby",Unvoiced ,One-eyebrowed baby. ,"""Sweet Seymour Skinner's Baadasssss Song"""
Ginger Flanders ,Tress MacNeille[11] ,"Ned Flanders's ""Vegas wife.""[21] ","""Viva Ned Flanders"""
"Glick, Mrs.Mrs.",Cloris Leachman[22] ,Elderly. ,"""Three Men and a Comic Book"""
Gloria ,Julia Louis-Dreyfus ,Snake's pregnant girlfriend. ,"""A Hunka Hunka Burns in Love"""
"Gumble, Barney",Dan Castellaneta[2] ,Homer's drunken old pal. ,"""Simpsons Roasting on an Open Fire"""
"Gunderson, Gil",Dan Castellaneta[14] ,Unsuccessful Salesman. ,"""Realty Bites"""
Happy Little Elves ,"Dan Castellaneta,[12] Hank Azaria,[12] and Harry Shearer[23] ",Children's cartoon series characters. ,"""Scary Movie"" (The Simpsons shorts)[24]"
"Harm, Judge Constance",Jane Kaczmarek ,Springfield judge. ,"""The Parent Rap"""
Herman ,Harry Shearer[8] ,Owner of Herman's Military Antiques shop.[25] ,"""Bart the General"""
"Hibbert, Bernice",Tress MacNeille[11] ,Dr. Hibbert's wife. ,"""Bart's Dog Gets an F"""
"Hibbert, Dr. Julius",Harry Shearer[8] ,Medical doctor. ,"""Bart the Daredevil"""
"Hoover, Elizabeth",Maggie Roswell[8] ,Lisa Simpson's teacher at Springfield Elementary School. ,"""Lisa's Substitute"""
"Hutz, Lionel",Phil Hartman[26] ,Attorney. ,"""Bart Gets Hit by a Car"""
Itchy & Scratchy ,Dan Castellaneta[2] and Harry Shearer[8] ,Cartoon cat and mouse. ,"""The Bart Simpson Show"" (The Simpsons shorts)[27]"
Jacques ,Albert Brooks[28] ,Bowling instructor.[29] ,"""Life on the Fast Lane"""
"Jones, Jimbo",Pamela Hayden[8] ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Jordan, Rachel",Shawn Colvin[30] ,Lead singer of the Christian Rock band Kovenant.[31] ,"""Alone Again, Natura-diddily"""
Kang and Kodos ,Harry Shearer[8] and Dan Castellaneta[2] ,Extraterrestrials. ,"""Treehouse of Horror"""
"Kashmir, Princess",Maggie Roswell[8] ,Belly dancer.[32] ,"""Homer's Night Out"""
Kearney ,Nancy Cartwright[2] ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Krabappel, Edna",Marcia Wallace[8] ,Bart Simpson's teacher at Springfield Elementary School. ,"""Bart the Genius"""
"Krustofski, Rabbi Hyman",Jackie Mason[33] ,Rabbi; father of Krusty the Clown.[34] ,"""Like Father, Like Clown"""
Krusty the Clown ,Dan Castellaneta[2] ,"TV show clown host, original name Herschel Shmoikel Pinchas Yerucham Krustofski[35]. ","""The Krusty the Clown Show"" (The Simpsons shorts)[36]"
"Kwan, Cookie",Tress MacNeille[11] ,Real estate agent.[37] ,"""Realty Bites"""
"Largo, Dewey",Harry Shearer[8] ,Springfield Elementary School's music teacher. ,"""Simpsons Roasting on an Open Fire"""
Legs and Louie ,Hank Azaria[2] and Dan Castellaneta[2] ,Fat Tony's henchmen. ,"""Bart the Murderer"""
Leopold ,Dan Castellaneta[8] ,Superintendent Chalmers' assistant. ,"""Sweet Seymour Skinner's Baadasssss Song"""
"Leonard, Lenny",Harry Shearer[8] ,Springfield Nuclear Power Plant employee; one of Homer Simpson's friends. ,"""Life on the Fast Lane"""
Lewis ,Russi Taylor[8] ,Student at Springfield Elementary School. ,"""Simpsons Roasting on an Open Fire"""
"Lovejoy, Helen",Maggie Roswell[8] ,Reverend Lovejoy's wife. ,"""Life on the Fast Lane"""
"Lovejoy, Reverend Timothy",Harry Shearer[8] ,Minister of the First Church of Springfield. ,"""The Telltale Head"""
Lugash ,Dan Castellaneta[12] ,Gymnastics instructor.[38] ,"""Children of a Lesser Clod"""
Luigi ,Hank Azaria[14] ,Italian restaurant proprietor. ,"""Sweet Seymour Skinner's Baadasssss Song"""
"Lumpkin, Lurleen","Beverly D'Angelo,[39] Doris Grau[8] ",Country music singer/songwriter. ,"""Colonel Homer"""
Malibu Stacy ,Pamela Hayden[8] ,Doll. ,Simpson and Delilah
"Mann, OttoOtto Mann ",Harry Shearer[8] ,Springfield Elementary School bus driver. ,"""Homer's Odyssey"""
"McCallister, Captain Horatio",Hank Azaria[2] ,Sea captain. ,"""New Kid on the Block"""
"Meyers, Jr., Roger","Alex Rocco,[40] Dan Castellaneta[2] ",President of Itchy & Scratchy Studios. ,"""Itchy & Scratchy & Marge"""
"McClure, TroyTroy McClure ",Phil Hartman[41] ,Actor. ,"""Homer vs. Lisa and the 8th Commandment"""
"Moleman, Hans",Dan Castellaneta[2] ,Misfortunate man. ,"""Principal Charming"""
"Monroe, Dr. Marvin",Harry Shearer[8] ,Psychotherapist. ,"""There's No Disgrace Like Home"""
"Muntz, Nelson",Nancy Cartwright[2] ,Springfield Elementary School bully. ,"""Bart the General"""
"Muntz, Mrs.",Tress MacNeille[11] ,Nelson Muntz's mother. 
"Murdock, Captain Lance",Dan Castellaneta[2] ,Daredevil. ,"""Bart the Daredevil"""
"Murphy, Bleeding Gums",Ron Taylor[42] ,Blues musician.[43] ,"""Moaning Lisa"""
"Naegle, Lindsey",Tress MacNeille[11] ,Corporate executive. ,"""The Itchy & Scratchy & Poochie Show"""
"Nahasapeemapetilon, Apu",Hank Azaria[2] ,Operator of the Kwik-E-Mart. ,"""The Telltale Head"""
"Nahasapeemapetilon, Manjula",Jan Hooks[44] ,Apu Nahasapeemapetilon's wife. ,"""The Two Mrs. Nahasapeemapetilons"""
"Nahasapeemapetilon, Sanjay",Harry Shearer[11] ,Apu Nahasapeemapetilon's older brother. ,"""Homer vs. Lisa and the 8th Commandment"""
Old Barber[45] ,"Dan Castellaneta,[45] Harry Shearer[23] ",Barber. ,"""Bart's Haircut"" (The Simpsons shorts)[46]"
Old Jewish Man ,Hank Azaria[14] ,Springfield Retirement Castle resident. ,"""Krusty Gets Kancelled"""
Patches and Poor Violet ,Pamela Hayden[11] and Tress MacNeille[11] ,Orphans.[47] ,"""Miracle on Evergreen Terrace"""
"Pye, Arnie",Dan Castellaneta[2] ,Helicopter reporter. ,"""Homer Alone"""
Poochie ,Dan Castellaneta[2] ,Cartoon dog formerly on The Itchy & Scratchy Show. ,"""The Itchy & Scratchy & Poochie Show"""
"Powell, Herbert",Danny DeVito[48] ,Homer Simpson's half-brother.[49] ,"""Oh Brother, Where Art Thou?"""
"Powell, Janey",Pamela Hayden[8] ,Student at Springfield Elementary School. ,"""Bart the General"""
"Powers, Ruth",Pamela Reed[50] ,The Simpsons' next door neighbor.[51] ,"""New Kid on the Block"""
"Prince, Martin",Russi Taylor[8] ,Student at Springfield Elementary School. ,"""Bart the Genius"""
"Pryor, Dr. J. Loren",Harry Shearer[8] ,Springfield Elementary's school psychologist. ,"""Bart the Genius"""
"Quimby, Mayor ""Diamond Joe""",Dan Castellaneta[2] ,Mayor of Springfield. ,"""Bart Gets an F"""
Radioactive Man ,Harry Shearer ,Comic book superhero. ,"""Bart the Genius"""
"Rich Texan, The",Dan Castellaneta[14] ,Philanthropist. ,"""$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"""
Richard ,"Pamela Hayden[8], Nancy Cartwright[2] ",Student at Springfield Elementary School. ,"""Bart the Genius"""
"Riviera, Dr. Nick",Hank Azaria[2] ,Medical doctor. ,"""Bart Gets Hit by a Car"""
Santa's Little Helper ,"Dan Castellaneta,[2] Frank Welker[23] ",The Simpson family's pet dog. ,"""Simpsons Roasting on an Open Fire"""
Sherri and Terri ,Russi Taylor[8] ,Identical twins; Students at Springfield Elementary Schools. ,"""Homer's Odyssey"""
"Shutton, Dave",Harry Shearer[8] ,Reporter for The Springfield Shopper. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
Sideshow Bob ,Kelsey Grammer[52] ,Criminal mastermind and Krusty the Clown Show ex-operator and sidekick. ,"""The Telltale Head"""
Sideshow Mel ,Dan Castellaneta[2] ,The Krusty the Clown Show sidekick. ,"""Itchy & Scratchy & Marge"""
"Simpson, Grampa Abraham",Dan Castellaneta[2] ,"Homer Simpson's father; Bart, Lisa, and Maggie Simpson's grandfather. ","""Grampa and the Kids"" (The Simpsons shorts)[53]"
"Simpson, Amber",Pamela Hayden[11] ,"Homer Simpson's deceased ""Vegas wife.""[21] ","""Viva Ned Flanders"""
"Simpson, Mona","Glenn Close,[54] Tress MacNeille,[11] Maggie Roswell[55] ",Deceased estranged mother of Homer Simpson and wife of Abe Simpson. ,"""Oh Brother, Where Art Thou?"""
"Skinner, Agnes",Tress MacNeille[8] ,Seymour Skinner's mother. ,"""The Crepes of Wrath"""
"Skinner, Principal Seymour",Harry Shearer[8] ,Principal of Springfield Elementary School. ,"""Simpsons Roasting on an Open Fire"""
"Smithers, Waylon",Harry Shearer[8] ,Monty Burns's personal assistant. ,"""Homer's Odyssey"""
Snake ,Hank Azaria[2] ,Recidivist. ,"""The War of the Simpsons"""
Snowball ,Frank Welker ,The Simpson family's pet cats. ,"""Simpsons Roasting on an Open Fire"""
"Snyder, Judge Roy",Harry Shearer[11] ,Springfield judge. ,"""Krusty Gets Busted"""
Space Mutants ,Unvoiced ,Monsters of the films of the same name. ,"""Scary Movie"" (The Simpsons shorts)[24]"
"Springfield, Jebediah",Harry Shearer[8] ,Founder of Springfield; local hero. ,"""The Telltale Head"""
"Spuckler, Cletus",Hank Azaria[2] ,Yokel. ,"""Bart Gets an Elephant"""
"Spuckler, Brandine",Tress MacNeille[8] ,Cletus Spuckler's wife and sister. ,"""Scenes from the Class Struggle in Springfield"""
Squeaky-Voiced Teen ,Dan Castellaneta[14] ,Service industry. ,"""Principal Charming"""
"Szyslak, Moe",Hank Azaria[2] ,Owner of Moe's Tavern. ,"""Simpsons Roasting on an Open Fire"""
"Tatum, Drederick",Hank Azaria[2] ,Professional boxer.[56]
"Taylor, Allison","Winona Ryder, Pamela Hayden ",Springfield Elementary Student. ,"""Lisa's Rival"""
"Teeny, Mr.",Dan Castellaneta[14] ,The Krusty the Clown Show trained monkey. 
"Terwilliger, Cecil",David Hyde Pierce[57] ,Sideshow Bob's younger brother.[58] ,"""Brother from Another Series"""
"Tightlips, Johnny",Hank Azaria[12] ,One of Fat Tony's henchmen.[20] ,"""Insane Clown Poppy"""
Üter ,Russi Taylor[8] ,Student at Springfield Elementary School. ,"""Treehouse of Horror IV"""
"Van Houten, Kirk",Hank Azaria[2] ,Milhouse Van Houten's father; factory worker. ,"""Bart's Friend Falls in Love"""
"Van Houten, Luann",Maggie Roswell[8] ,Kirk Van Houten's wife; Milhouse's mother. ,"""Homer Defined"""
"Van Houten, Milhouse",Pamela Hayden[8] ,Bart Simpson's best friend; Student at Springfield Elementary School. ,"""Simpsons Roasting on an Open Fire"""
﻿Dr. Velimirovic ,Hank Azaria[12] ,Plastic surgeon.[59] ,"""Pygmoelian"""
Veterinarian ,Hank Azaria[2] ,Veterinarian.[60] ,"""Dog of Death"""
"Wiggum, Chief Clancy",Hank Azaria[2] ,Springfield Chief of Police. ,"""Homer's Odyssey"""
"Wiggum, Ralph",Nancy Cartwright[2] ,Student at Springfield Elementary School. ,"""Moaning Lisa"""
"Wiggum, Sarah",Pamela Hayden[11] ,Chief Wiggum's wife; Ralph Wiggum's mother. ,"""Duffless"""
Groundskeeper Willie ,Dan Castellaneta[2] ,Janitor of Springfield Elementary School. ,"""Principal Charming"""
Wiseguy ,Hank Azaria[12] ,Service industry. ,"""The Way We Was"""
"Wolfcastle, Rainier",Harry Shearer[8] ,Actor; star of McBain films. ,"""The Way We Was"""
Yes Guy[12] ,Dan Castellaneta[12] ,Service industry. ,"""Mayored to the Mob"""
"Ziff, ArtieArtie Ziff ","Jon Lovitz,[61] Dan Castellaneta[45] ",Former billionaire.[62] ,"""The Way We Was"